"PartNo","SupplierPartNo","Manufacturer","Model","StockLevel","Cost","RRP","Description","Image","Product Category"
"GN21-1000","2303-820-104","JABRA","Jabra BIZ 2300 Mono Headset NC - NB","1190.00","64.74","113.00","","","Corded Headsets"
"GN21-1001","2309-820-104","JABRA","Jabra BIZ 2300 Duo Headset NC - NB","1839.00","82.50","144.00","","","Corded Headsets"
"GN21-1002","2303-825-109","JABRA","Jabra BIZ 2300 Mono Headset NC - WB","0.00","64.74","113.00","","","Corded Headsets"
"GN21-1003","2309-825-109","JABRA","Jabra BIZ 2300 Duo Headset NC - WB","66.00","82.50","144.00","","https://www.corpteluk.com/product/image/Medium/gn21-1003_0.jpeg","Corded Headsets"
"GN21-1004","2393-829-109","JABRA","Jabra BIZ 2300 Mono NC Headset USB - UC","0.00","76.20","133.00","","","Corded Headsets"
"GN21-1005","2399-829-109","JABRA","Jabra BIZ 2300 Duo NC Headset USB - UC","0.00","88.23","154.00","","","Corded Headsets"
"GN21-1006","2393-823-109","JABRA","Jabra BIZ 2300 Mono NC Headset USB - MS","48.00","76.20","133.00","","https://www.corpteluk.com/product/image/Medium/gn21-1006_0.jpeg","Corded Headsets"
"GN21-1007","2399-823-109","JABRA","Jabra BIZ 2300 Duo NC Headset USB - MS","56.00","88.23","154.00","","https://www.corpteluk.com/product/image/Medium/gn21-1007_0.jpeg","Corded Headsets"
"GN21-1008","14101-37","JABRA","Jabra BIZ 2300 Leather Ear Cushion x 10","0.00","12.60","22.00","","","Headset Spares"
"GN21-1009","14101-38","JABRA","Jabra BIZ 2300 Foam Ear Cushion x10","0.00","9.17","16.00","","","Headset Spares"
"GN21-1010","14101-39","JABRA","Jabra BIZ 2300 Clothing clip x10","0.00","8.59","15.00","","","Headset Spares"
"GN21-1011","14101-40","JABRA","Jabra Headset Pouch Packaging Unit: 10 pieces","0.00","7.45","13.00","","","Headset Accessories"
"GN21-1020","4993-823-109","JABRA","Jabra EVOLVE 20 Mono USB Headset - MS","2119.00","21.49","37.50","","https://www.corpteluk.com/product/image/Medium/gn21-1020_0.jpeg","Corded Headsets"
"GN21-1021","4999-823-109","JABRA","Jabra EVOLVE 20 Duo USB Headset - MS","26456.00","26.93","47.00","The Jabra Evolve series is a professional range of headsets designed to improve concentration and conversations. Premium noise cancellation technology gives you peace to work in a noisy open office; effectively creating a concentration zone around you so you can stay focused.The Jabra Evolve 20 is a Binaural corded headset that is ideal for use with a VoIP softphone.Jabra have included their Noise Cancelling microphone DSP technology and Wideband audio to filter out unwanted background noise and optimise your voice.The Evolve 20 Duo also comes with a in-line control unit that provides accesses to call functions such as volume mute answer and end.Optimised for Unified Communication with USB adapter that enables easy integration with PC.","https://www.corpteluk.com/product/image/Medium/gn21-1021_0.jpeg","Corded Headsets"
"GN21-1022","4993-829-209","JABRA","Jabra EVOLVE 20 Mono USB Headset - UC","651.00","21.49","37.50","","","Corded Headsets"
"GN21-1023","4999-829-209","JABRA","Jabra EVOLVE 20 Duo USB Headset - UC","2147.00","26.93","47.00","","","Corded Headsets"
"GN21-1028","6393-823-109","JABRA","Jabra EVOLVE 40 Mono USB Headset - MS","313.00","52.71","92.00","","https://www.corpteluk.com/product/image/Medium/gn21-1028_0.jpeg","Corded Headsets"
"GN21-1029","6399-823-109","JABRA","Jabra EVOLVE 40 Duo USB Headset - MS","5979.00","58.44","102.00","","https://www.corpteluk.com/product/image/Medium/gn21-1029_0.jpeg","Corded Headsets"
"GN21-1030","6393-829-209","JABRA","Jabra EVOLVE 40 Mono USB Headset - UC","199.00","52.71","92.00","","https://www.corpteluk.com/product/image/Medium/gn21-1030_0.jpeg","Corded Headsets"
"GN21-1031","6399-829-209","JABRA","Jabra EVOLVE 40 Duo USB Headset - UC","1158.00","58.44","102.00","","https://www.corpteluk.com/product/image/Medium/gn21-1031_0.jpeg","Corded Headsets"
"GN21-1032","6593-823-309","JABRA","Jabra EVOLVE 65 Mono USB Headset - MS *EOL*","0.00","91.67","160.00","","","Corded Headsets"
"GN21-1033","6599-823-309","JABRA","Jabra EVOLVE 65 Duo USB Headset - MS *EOL*","0.00","97.97","171.00","","https://www.corpteluk.com/product/image/Medium/gn21-1033_0.jpeg","Corded Headsets"
"GN21-1034","6593-829-409","JABRA","Jabra EVOLVE 65 Mono USB Headset - UC *EOL*","1.00","91.67","160.00","","https://www.corpteluk.com/product/image/Medium/gn21-1034_0.jpeg","Wireless Headsets"
"GN21-1035","6599-829-409","JABRA","Jabra EVOLVE 65 Duo USB Headset - UC *EOL*","0.00","97.97","171.00","","https://www.corpteluk.com/product/image/Medium/gn21-1035_0.jpeg","Wireless Headsets"
"GN21-1036","7899-823-109","JABRA","Jabra EVOLVE 80 Duo USB Headset - MS","0.00","194.79","340.00","","https://www.corpteluk.com/product/image/Medium/gn21-1036_0.jpeg","Corded Headsets"
"GN21-1037","7899-829-209","JABRA","Jabra EVOLVE 80 Duo USB Headset - UC","104.00","194.79","340.00","","https://www.corpteluk.com/product/image/Medium/gn21-1037_0.jpeg","Corded Headsets"
"GN21-1038","14101-41","JABRA","Jabra EVOLVE 80 Leather Earcushion 2pk","0.00","9.17","16.00","","","Corded Headsets"
"GN21-1039","230-09","JABRA","Jabra LINK 230 USB Amplifier QD to USB","320.00","22.92","40.00","","https://www.corpteluk.com/product/image/Medium/gn21-1039_0.jpeg","Headset Cables"
"GN21-1040","260-09","JABRA","Jabra LINK 260 USB Amplifier QD to USB","149.00","49.27","86.00","","https://www.corpteluk.com/product/image/Medium/gn21-1040_0.jpeg","Headset Cables"
"GN21-1044","5393-823-309","JABRA","Jabra EVOLVE 30 II Mono USB Headset - MS","166.00","36.52","63.75","","https://www.corpteluk.com/product/image/Medium/gn21-1044_0.jpeg","Corded Headsets"
"GN21-1045","5399-823-309","JABRA","Jabra EVOLVE 30 II Duo USB Headset - MS","1008.00","41.97","73.25","","","Corded Headsets"
"GN21-1046","5393-829-309","JABRA","Jabra EVOLVE 30 II Mono USB Headset - UC","55.00","36.52","63.75","","https://www.corpteluk.com/product/image/Medium/gn21-1046_0.jpeg","Corded Headsets"
"GN21-1047","5399-829-309","JABRA","Jabra EVOLVE 30 II Duo USB Headset - UC","1313.00","41.97","73.25","","https://www.corpteluk.com/product/image/Medium/gn21-1047_0.jpeg","Corded Headsets"
"GN21-1048","14401-09","JABRA","Jabra EVOLVE 40 Mono H/set Only 3.5 - UC","77.00","31.51","55.00","","https://www.corpteluk.com/product/image/Medium/gn21-1048_0.jpeg","Corded Headsets"
"GN21-1049","14401-10","JABRA","Jabra EVOLVE 40 Duo H/set Only 3.5 - UC","100.00","37.24","65.00","","https://www.corpteluk.com/product/image/Medium/gn21-1049_0.jpeg","Corded Headsets"
"GN21-1050","14101-47","JABRA","Jabra EVOLVE 20 30 40 65 Headset Pouch x10","1.00","37.24","65.00","","https://www.corpteluk.com/product/image/Medium/gn21-1050_0.jpeg","Headset Accessories"
"GN21-1051","6593-823-399","JABRA","Jabra EVOLVE 65 Mono incl Stand - MS *EOL*","0.00","121.46","212.00","","https://www.corpteluk.com/product/image/Medium/gn21-1051_0.jpeg","Wireless Headsets"
"GN21-1052","6599-823-399","JABRA","Jabra EVOLVE 65 Duo incl Stand - MS *EOL*","0.00","127.19","222.00","","https://www.corpteluk.com/product/image/Medium/gn21-1052_0.jpeg","Wireless Headsets"
"GN21-1053","6593-823-499","JABRA","Jabra EVOLVE 65 Mono incl Stand - UC *EOL*","0.00","121.46","212.00","","","Wireless Headsets"
"GN21-1054","6599-823-499","JABRA","Jabra EVOLVE 65 Duo incl Stand - UC *EOL*","0.00","127.19","222.00","","","Wireless Headsets"
"GN21-1056","7599-832-109","JABRA","Jabra EVOLVE 75 Duo LINK 370 - MS *EOL*","0.00","165.00","288.00","","https://www.corpteluk.com/product/image/Medium/gn21-1056_0.jpeg","Wireless Headsets"
"GN21-1057","7599-838-109","JABRA","Jabra EVOLVE 75 Duo / LINK 380 - UC *EOL*","26.00","165.00","288.00","","https://www.corpteluk.com/product/image/Medium/gn21-1057_0.jpeg","Wireless Headsets"
"GN21-1058","7599-832-199","JABRA","Jabra EVOLVE 75 Duo incl Stand - MS *EOL*","0.00","194.79","340.00","","","Wireless Headsets"
"GN21-1059","7599-838-199","JABRA","Jabra EVOLVE 75 Duo inc. Stand - UC *EOL*","0.00","194.79","340.00","","","Wireless Headsets"
"GN21-1060","14207-40","JABRA","Jabra EVOLVE 75 Charging Stand","38.00","36.67","64.00","","https://www.corpteluk.com/product/image/Medium/gn21-1060_0.jpeg","Wireless Headsets"
"GN21-1061","7099-823-309","JABRA","Jabra EVOLVE 75e Headset / LINK 370 - MS *EOL*","0.00","128.63","224.50","","","Wireless Headsets"
"GN21-1062","7099-823-409","JABRA","Jabra EVOLVE 75e Headset / LINK 370 - UC *EOL*","0.00","128.63","224.50","","","Wireless Headsets"
"GN21-1063","14101-69","JABRA","Jabra EVOLVE 75e Accessories Pack","0.00","8.02","14.00","","","Headset Spares"
"GN21-1065","14401-21","JABRA","Jabra Evolve 30 II DUO UC 3.5mm Jack","36.00","25.21","44.00","","","Corded Headsets"
"GN21-1066","8800-01-102","JABRA","Jabra PC Cord QD to 3.5mm for Jabra QD Headsets. Compatible with Apple Mac Book PRO","61.00","16.61","29.00","","","Headset Accessories"
"GN21-1120","8800-01-19","JABRA","Jabra QD cord w.resistor 47K Ohm","0.00","12.03","21.00","","","Corded Headsets"
"GN21-1134","14201-40","JABRA","Jabra PRO EHS Adapter for Panasonic","0.00","24.06","42.00","","https://www.corpteluk.com/product/image/Medium/gn21-1134_0.jpeg","Headset Accessories"
"GN21-1170","14201-31","JABRA","Jabra PRO 900 EHS Adapter & GN 9120","2.00","24.06","42.00","","https://www.corpteluk.com/product/image/Medium/gn21-1170_0.jpeg","Headset Accessories"
"GN21-1204","5578-230-109","JABRA","Jabra STEALTH Bluetooth Headset - UC","0.00","65.31","114.00","","https://www.corpteluk.com/product/image/Medium/gn21-1204_0.jpeg","Wireless Headsets"
"GN21-1205","5578-230-309","JABRA","Jabra STEALTH Bluetooth Headset - MS","51.00","65.31","114.00","","","Wireless Headsets"
"GN21-1235","14101-48","JABRA","Jabra BIZ 2400 Leatherette Ear Cushions x 10","0.00","18.34","32.00","","https://www.corpteluk.com/product/image/Medium/gn21-1235_0.jpeg","Headset Spares"
"GN21-1240","2406-820-204","JABRA","Jabra BIZ 2400 II Mon Headset NC NB","2.00","111.72","195.00","","","Corded Headsets"
"GN21-1241","2409-820-204","JABRA","Jabra BIZ 2400 II Duo Headset NC NB","0.00","118.02","206.00","","","Corded Headsets"
"GN21-1242","2406-720-209","JABRA","Jabra BIZ 2400 II Mon Headset UNC","0.00","123.75","216.00","","","Corded Headsets"
"GN21-1243","2409-720-209","JABRA","Jabra BIZ 2400 II Duo Headset UNC","0.00","129.48","226.00","","","Corded Headsets"
"GN21-1244","2486-820-209","JABRA","Jabra BIZ 2400 II Mon Headset NC WB","0.00","111.72","195.00","","","Corded Headsets"
"GN21-1245","2489-820-209","JABRA","Jabra BIZ 2400 II Duo Headset NC WB","0.00","118.02","206.00","","","Corded Headsets"
"GN21-1246","2486-825-209","JABRA","Jabra BIZ 2400 II Mon Headset Unify WB","0.00","111.72","195.00","","","Corded Headsets"
"GN21-1247","2489-825-209","JABRA","Jabra BIZ 2400 II Duo Headset Unify WB","0.00","118.02","206.00","","","Corded Headsets"
"GN21-1248","14101-49","JABRA","Jabra BIZÉ2400 Leatherette Ear Cushions (Large) 10 unit PACK","64.00","25.21","44.00","","https://www.corpteluk.com/product/image/Medium/gn21-1248_0.jpeg","Headset Spares"
"GN21-1260","920-29-508-102","JABRA","Jabra PRO 920 Duo DECT Headset","67.00","141.51","247.00","","https://www.corpteluk.com/product/image/Medium/gn21-1260_0.jpeg","Wireless Headsets"
"GN21-1261","930-29-509-102","JABRA","Jabra PRO 930 Duo DECT Headset - UC","16.00","141.51","247.00","","https://www.corpteluk.com/product/image/Medium/gn21-1261_0.jpeg","Wireless Headsets"
"GN21-1262","930-29-503-102","JABRA","Jabra PRO 930 Duo DECT Headset - MS","21.00","141.51","247.00","","https://www.corpteluk.com/product/image/Medium/gn21-1262_0.jpeg","Wireless Headsets"
"GN21-1263","7810-109","JABRA","Jabra SPEAK 810 Speakerphone - MS","58.00","338.59","591.00","","","Speakers"
"GN21-1264","7810-209","JABRA","Jabra SPEAK 810 Speakerphone - UC","33.00","338.59","591.00","","https://www.corpteluk.com/product/image/Medium/gn21-1264_0.jpeg","Speakers"
"GN21-1265","2496-829-209","JABRA","Jabra BIZ 2400 II Mono Headset USB/BT - UC","0.00","107.14","187.00","","","Corded Headsets"
"GN21-1266","2499-829-209","JABRA","Jabra BIZ 2400 II Duo Headset USB/BT - UC","0.00","112.44","196.25","","","Corded Headsets"
"GN21-1267","2496-823-209","JABRA","Jabra BIZ 2400 II Mono Headset USB/BT - MS","0.00","107.14","187.00","","","Corded Headsets"
"GN21-1268","2499-823-209","JABRA","Jabra BIZ 2400 II Duo Headset USB/BT - MS","0.00","130.63","228.00","","","Corded Headsets"
"GN21-1269","2496-829-309","JABRA","Jabra BIZ 2400 II Mono Headset USB/CC - UC","0.00","118.02","206.00","","","Corded Headsets"
"GN21-1270","2499-829-309","JABRA","Jabra BIZ 2400 II Duo Headset USB/CC - UC","0.00","124.32","217.00","","","Corded Headsets"
"GN21-1271","2496-823-309","JABRA","Jabra BIZ 2400 II Mono USB CC Headset MS","0.00","111.72","195.00","","","Corded Headsets"
"GN21-1272","2499-823-309","JABRA","Jabra BIZ 2400 II Duo Headset USB/CC - MS","5.00","118.02","206.00","","","Corded Headsets"
"GN21-1291","14208-06","JABRA","Jabra EVOLVE 80 LINK USB Controller - UC","0.00","31.51","55.00","","","Corded Headsets"
"GN21-1296","14201-29","JABRA","Jabra Service Cable for Jabra PRO 920","0.00","24.06","42.00","","","Wireless Headsets"
"GN21-1351","8800-02-01","JABRA","Jabra Supervisor Y Cord with mute","75.00","21.77","38.00","","","Headset Cables"
"GN21-1360","8800-01-89","JABRA","Jabra QD Cord to RJ45 0.5 - 2m Unify","0.00","13.18","23.00","","","Headset Cables"
"GN21-1363","5093-610-189","JABRA","Jabra Engage 50 Mono Digital USB-C Con.","28.00","106.56","186.00","","","Corded Headsets"
"GN21-1364","5099-610-189","JABRA","Jabra Engage 50 Duo Digital USB-C Connector","105.00","118.59","207.00","","","Corded Headsets"
"GN21-1365","7899-823-189","JABRA","Jabra Evolve 80 MS Stereo USB-C - 3.5mm","0.00","197.66","345.00","","","Corded Headsets"
"GN21-1366","7899-829-289","JABRA","Jabra Evolve 80 UC Stereo USB-C 3.5mm","0.00","197.66","345.00","","","Corded Headsets"
"GN21-1377","14101-75","JABRA","Jabra Speak 710 Secure Mount (11 Pieces)","0.00","8.02","14.00","","","Speakers"
"GN21-1379","50-219","JABRA","Jabra Engage 50 LINK USB-A UC Controller","9.00","53.28","93.00","","","Corded Headsets"
"GN21-1380","50-119","JABRA","Jabra Engage 50 LINK USB-A MS Controller","11.00","53.28","93.00","","","Corded Headsets"
"GN21-1381","50-259","JABRA","Jabra Engage 50 LINK USB-C UC Controller","24.00","53.28","93.00","","","Corded Headsets"
"GN21-1382","50-159","JABRA","Jabra Engage 50 LINK USB-C MS Controller","0.00","53.28","93.00","","","Corded Headsets"
"GN21-1383","14208-15","JABRA","Jabra LINK Ext cord USB-C-USB-C 1.2M","96.00","18.33","32.00","","","Corded Headsets"
"GN21-1384","14208-16","JABRA","Jabra LINK Ext cord USB-C-USB-A 1.2M","87.00","18.33","32.00","","","Corded Headsets"
"GN21-1385","14101-70","JABRA","Jabra Engage 50 Ear Cushions (x10)","0.00","31.51","55.00","","","Corded Headsets"
"GN21-1386","14101-71","JABRA","Jabra Engage 50 Ear Cushions (x2)","5.00","6.30","11.00","","","Corded Headsets"
"GN21-1387","14601-02","JABRA","Jabra Engage 50 Clothing Clip. (x10)","60.00","15.47","27.00","","","Corded Headsets"
"GN21-1388","14151-09","JABRA","Jabra Engage Battery Pack","1.00","16.61","29.00","","","Headset Accessories"
"GN21-1390","14208-20","JABRA","Jabra Evolve 80 LINK USB-C MS Controller","1.00","33.80","59.00","","","Corded Headsets"
"GN21-1391","14208-21","JABRA","Jabra Evolve 80 LINK USB-C UC Controller","0.00","33.80","59.00","","","Corded Headsets"
"GN21-1400","9553-553-117","JABRA","Jabra ENGAGE 65 DECT Mono Headset","97.00","194.79","340.00","","https://www.corpteluk.com/product/image/Medium/gn21-1400_0.jpeg","Wireless Headsets"
"GN21-1401","9559-553-117","JABRA","Jabra ENGAGE 65 DECT Duo Headset","188.00","206.82","361.00","","","Wireless Headsets"
"GN21-1402","9555-553-117","JABRA","Jabra ENGAGE 65 DECT 3-in-1 Headset","5.00","206.82","361.00","","https://www.corpteluk.com/product/image/Medium/gn21-1402_0.jpeg","Wireless Headsets"
"GN21-1403","9556-583-117","JABRA","Jabra ENGAGE 75 DECT Mono Headset","94.00","224.58","392.00","","","Wireless Headsets"
"GN21-1404","9559-583-117","JABRA","Jabra ENGAGE 75 DECT Duo Headset","165.00","236.61","413.00","","","Wireless Headsets"
"GN21-1405","9555-583-117","JABRA","Jabra ENGAGE 75 DECT 3-in-1 Headset","25.00","236.61","413.00","","","Wireless Headsets"
"GN21-1407","14207-44","JABRA","Jabra ENGAGE PSU Charger - UK","228.00","15.47","27.00","","","Wireless Headsets"
"GN21-1408","14401-15","JABRA","Jabra Engage Stereo Headset Inc Cushions *EOL*","0.00","112.29","196.00","","","Wireless Headsets"
"GN21-1411","14101-60","JABRA","Jabra Engage Ear Cushions (5 pairs)","0.00","46.98","82.00","","","Wireless Headsets"
"GN21-1412","260-19","JABRA","Jabra Link 260 USB-amplifier QD-USB SfB","0.00","49.27","86.00","","","Corded Headsets"
"GN21-1413","88011-100","JABRA","Jabra Smart Cord 3.5mm (female) to RJ9","0.00","22.92","40.00","","","Corded Headsets"
"GN21-1414","9553-553-117-1","JABRA","Jabra ENGAGE 65 DECT Mono Headset - Medium Power","0.00","194.79","340.00","","","Headsets"
"GN21-1444","14301-58","JABRA","Jabra Evolve2 65 Flex Carry Pouch ","0.00","14.90","26.00","","","Headset Accessories"
"GN21-1450","6393-823-189","JABRA","Jabra EVOLVE 40 Mono USB-C Headset - MS","67.00","55.57","97.00","","https://www.corpteluk.com/product/image/Medium/gn21-1450_0.jpeg","Corded Headsets"
"GN21-1451","6399-823-189","JABRA","Jabra EVOLVE 40 Duo USB-C Headset - MS","31.00","61.30","107.00","","https://www.corpteluk.com/product/image/Medium/gn21-1451_0.jpeg","Corded Headsets"
"GN21-1452","6393-829-289","JABRA","Jabra EVOLVE 40 Mono USB-C Headset - UC","0.00","55.57","97.00","","","Corded Headsets"
"GN21-1453","6399-829-289","JABRA","Jabra EVOLVE 40 Duo USB-C Headset - UC","127.00","61.30","107.00","","","Corded Headsets"
"GN21-1454","6598-832-109","JABRA","Jabra Evolve 65t Link 370 BLK - MS *EOL*","0.00","126.61","265.00","","","Wireless Headsets"
"GN21-1459","14209-01","JABRA","Jabra PRO 900 Spare Charging Base EU","0.00","24.06","42.00","","","Wireless Headsets"
"GN21-1462","6599-623-109","JABRA","Jabra EVOLVE 65E MS + LINK 370","30.00","97.97","171.00","","https://www.corpteluk.com/product/image/Medium/gn21-1462_0.jpeg","Wireless Headsets"
"GN21-1463","6599-629-109","JABRA","Jabra EVOLVE 65E UC + LINK 370","0.00","97.97","171.00","","","Wireless Headsets"
"GN21-1464","14101-76","JABRA","Jabra EVOLVE 65E Accessory Pack","0.00","8.02","14.00","","","Wireless Headsets"
"GN21-1465","14101-61","JABRA","Jabra Engage Ear Cushions (10 Single)","0.00","46.98","82.00","","","Wireless Headsets"
"GN21-1466","14401-14","JABRA","Jabra ENGAGE Mono Spare Headset *EOL* ","0.00","105.99","185.00","","","Wireless Headsets"
"GN21-1467","14401-11","JABRA","Jabra EVOLVE 80 UC Duo - HDST + 3.5mm","0.00","187.34","327.00","","","Wireless Headsets"
"GN21-1474","1950-79","JABRA","Jabra Link 950 USB-A","0.00","74.48","130.00","","","Wireless Headsets"
"GN21-1475","2950-79","JABRA","Jabra Link 950 USB-C","0.00","74.48","130.00","","","Wireless Headsets"
"GN21-1476","14207-50","JABRA","Jabra Link 950 Power Supply UK","0.00","9.17","16.00","","","Wireless Headsets"
"GN21-1477","14207-49","JABRA","Jabra Link 950 Power Supply EU","70.00","6.88","12.00","","https://www.corpteluk.com/_repository/1/productImages/Jabra_GN_220(116).jpg","Wireless Headsets"
"GN21-1480","8100-119","JABRA","Jabra PanaCast Camera","1039.00","309.90","425.00","Inclusive meetings.Panoramic-4K video using three 13-megapixel cameras and patented real-time video stitching to give 180Â° coverage for a more natural inclusive view of the huddle room. The perfect partner for rich Jabra Speak audio.Intelligent video technology.Intuitive camera technology detects individual meeting participants and optimizes the field of view to include everyone in the conversation while automatically optimizing video quality even under varying lighting conditions to provide a better viewing experience Features-180Â° field of view â€“ Natural view without distortion-Panormaic-4K quality â€“ Everyone looks sharp and in focus-Intelligent Zoom â€“ Automatically includes all team members in the conversation-Vivid HDR â€“ Optimises video quality under varying lighting conditions-Whiteboard â€“ Captures all details on a whiteboard in real-time and enhances readability-Plug-and-play connectivity â€“ Instant collaboration-180Â° Auto-flip â€“ Automatically flips the video feed if the device is installed upside down-Certified for Microsoft Teams and works with Cisco Webex Zoom and many more.","https://www.corpteluk.com/product/image/Medium/gn21-1480_0.jpeg","Video Conferencing"
"GN21-1481","14207-56","JABRA","Jabra PanaCast Table Stand","7.00","40.10","55.00","","https://www.corpteluk.com/product/image/small/gn21-1481_0.jpeg","Video Conferencing"
"GN21-1482","14207-57","JABRA","Jabra PanaCast Wall Mount","80.00","27.71","38.00","","https://www.corpteluk.com/product/image/small/gn21-1482_0.jpeg","Video Conferencing"
"GN21-1483","14202-09","JABRA","Jabra PanaCast USB cable (1.8m)","1.00","11.67","16.00","","","Video Conferencing"
"GN21-1484","8100-119","JABRA","Jabra Panacast Camera *DEMO UNIT*","1.00","425.00","425.00","","","Video Conferencing"
"GN21-1485","14207-60","JABRA","Jabra PanaCast USB Hub","43.00","78.92","108.00","A central unit which connects Jabra PanaCast and Jabra Speak to your computer with just one cable.The Jabra PanaCast Hub provides a one-cable connection to your laptop via USB-C. You can connectall of the following cables to the hub and connect it all to your laptop using a single USB-C port:â€¢ 1 meter/40 inch USB-C cable for PC connectionâ€¢ Two USB-A ports for connecting the Jabra PanaCast and a Jabra Speakâ€¢ Ethernetâ€¢ HDMI or VGAâ€¢ Power supply for charging your laptop and USB peripherals through USB-C","","Video Conferencing"
"GN21-1489","14207-58","JABRA","Jabra Panacast Hub USB-C incl. 2 pins EU Charger","0.00","64.90","89.00","","","Video Conferencing"
"GN21-1490","6399-823-109","JABRA","Jabra EVOLVE 40 Duo USB Headset - MS","0.00","58.44","102.00","","","Video Conferencing"
"GN21-1493","14121-41","JABRA","Jabra Engage Convertible Accessory Earhook Pack","0.00","12.60","22.00","","","Headset Spares"
"GN21-1495","14201-37","JABRA","Jabra EHS-Adapter for Alcatel 8019 8029 8039 ","10.00","24.06","42.00","","","Headset Accessories"
"GN21-1496","2399-829-189","JABRA","Jabra Biz 2300 Duo NC Headset USB-C - UC","0.00","90.52","5800.00","","","Headset Accessories"
"GN21-1497","14208-19","JABRA","Jabra Evolve 40 LINK USB-C UC Controller Only","0.00","33.80","59.00","","","Headset Accessories"
"GN21-1498","7700-309","JABRA","Jabra SPEAK 750 MS Teams with Jabra LINK 370","99.00","169.01","295.00","","https://www.corpteluk.com/product/image/Medium/gn21-1498_0.jpeg","Speakers"
"GN21-1499","7700-409","JABRA","Jabra SPEAK 750 UC Speakerphone with Jabra LINK 370","60.00","169.01","295.00","","https://www.corpteluk.com/product/image/Medium/gn21-1499_0.jpeg","Audio Conferencing"
"GN21-1500","14121-39","JABRA","Jabra Engage Headband for Mono","0.00","12.60","22.00","","","Headset Spares"
"GN21-1501","14121-38","JABRA","Jabra Engage Neckband for Convertible","1.00","12.60","22.00","","","Headset Accessories"
"GN21-1502","14101-66","JABRA","Jabra Biz 2300/2400 Microphone Covers - 10pk","0.00","6.30","11.00","","","Headset Accessories"
"GN21-1503","2393-829-189","JABRA","Jabra BIZÉ 2300 USB Monaural USB-C ","0.00","79.06","138.00","","","Headset Accessories"
"GN21-1504","14101-72","JABRA","Jabra Engage Ear Cushions - 1 Pair for Stereo Headset","0.00","9.17","16.00","","","Headset Accessories"
"GN21-1505","2393-823-189","JABRA","Jabra Biz 2300 Mono USB-C - MS","0.00","79.06","138.00","","","Headset Accessories"
"GN21-1506","14201-43","JABRA","Jabra EHS Adapter Cisco 6945/78xx/79xx/88xx","0.00","37.67","65.75","","","Headset Accessories"
"GN21-1507","2399-823-189","JABRA","Jabra BIZ 2300 USB Duo USB-C - MS","0.00","90.52","158.00","","","Headset Accessories"
"GN21-1508","4993-823-189","JABRA","Jabra EVOLVE 20 Mono USB-C Headset - MS","55.00","23.21","40.50","","","Headset Accessories"
"GN21-1509","4999-823-189","JABRA","Jabra EVOLVE 20 Duo USB-C Headset - MS","136.00","28.50","49.75","","","Headset Accessories"
"GN21-1510","4993-829-289","JABRA","Jabra EVOLVE 20 Mono USB-C Headset - UC","0.00","23.21","40.50","","","Headset Accessories"
"GN21-1511","4999-829-289","JABRA","Jabra EVOLVE 20 Duo USB-C Headset - UC","0.00","28.50","49.75","","","Headset Accessories"
"GN21-1512","4993-823-389","JABRA","Jabra EVOLVE 20 SE Mono USB-C Headset - MS","0.00","27.93","48.75","","","Headset Accessories"
"GN21-1513","4999-823-389","JABRA","Jabra EVOLVE 20 SE Duo USB-C Headset - MS","0.00","33.38","58.25","","","Headset Accessories"
"GN21-1514","4993-829-489","JABRA","Jabra EVOLVE 20 SE Mono USB-C Headset - UC","1.00","27.93","48.75","","","Headset Accessories"
"GN21-1515","4999-829-489","JABRA","Jabra EVOLVE 20 SE Duo USB-C Headset - UC","0.00","33.38","58.25","","","Headset Accessories"
"GN21-1516","5393-823-389","JABRA","Jabra EVOLVE 30 II Mono USB-C Headset - MS","0.00","38.24","66.75","","","Headset Accessories"
"GN21-1517","5399-823-389","JABRA","Jabra EVOLVE 30 II Duo USB-C Headset - MS","0.00","43.54","76.00","","","Headset Accessories"
"GN21-1518","5393-829-389","JABRA","Jabra EVOLVE 30 II Mono USB-C Headset - UC","0.00","38.24","66.75","","","Headset Accessories"
"GN21-1519","5399-829-389","JABRA","Jabra EVOLVE 30 II Duo USB-C Headset - UC","17.00","43.54","76.00","","","Headset Accessories"
"GN21-1520","14208-35","JABRA","Jabra EVOLVE 30 II LINK MS Controller Only USB-C","0.00","31.51","55.00","","","Headset Accessories"
"GN21-1521","14208-36","JABRA","Jabra EVOLVE 30 II LINK UC Controller Only USB-C","0.00","31.51","55.00","","","Headset Accessories"
"GN21-1522","8800-01-104","JABRA","Jabra QD to 3.5mm PTT Cable ","0.00","16.61","29.00","","","Headset Accessories"
"GN21-1523","14208-13","JABRA","Jabra EVOLVE 30 II Link UC Controller","1.00","28.07","49.00","","","Headset Accessories"
"GN21-1524","8401-251","JABRA","Jabra Panacast/Speak 710 UC Bundle *EOL*","0.00","607.40","833.00","","","Video Conferencing"
"GN21-1525","8401-151","JABRA","Jabra Panacast/Speak 710 MS Bundle *EOL*","0.00","607.40","833.00","","","Video Conferencing"
"GN21-1600","24089-899-999","JABRA","Jabra Evolve2 40 USB-A MS Mono","64.00","64.74","113.00","","https://www.corpteluk.com/product/image/Medium/gn21-1600_0.jpeg","Corded Headsets"
"GN21-1601","24089-899-899","JABRA","Jabra Evolve2 40 USB-C MS Mono","4.00","64.74","113.00","","https://www.corpteluk.com/product/image/Medium/gn21-1601_0.jpeg","Corded Headsets"
