"PartNo","SupplierPartNo","Manufacturer","Model","StockLevel","Cost","RRP","Description","Image","Product Category"
"AG22-0088","AG22-0088","AGENT","agent 3.5mm Bottom Cable - (Smartphone)","197.00","12.60","18.00","","https://www.corpteluk.com/product/image/large/ag22-0088_0.jpeg","Headset Cables"
"AG22-0110","AG22-0110","AGENT","agent Handset Lifter (Blue LED)","91.00","20.00","40.00","","https://www.corpteluk.com/product/image/large/ag22-0110_0.jpeg","Headset Accessories"
"AG22-0111","AG22-0111","AGENT","agent W800 Pana Stub Cable RJ10 to 2.5mm","51.00","6.80","8.50","","https://www.corpteluk.com/product/image/Medium/ag22-0111_0.jpeg","Headset Cables"
"AG22-0112","AG22-0112","AGENT","agent Small Ear Hook W880","0.00","2.50","3.50","","https://www.corpteluk.com/product/image/large/ag22-0112_0.jpeg","Headset Spares"
"AG22-0113","AG22-0113","AGENT","agent W880 V3.0 Spare Base Unit","19.00","57.60","72.00","","","Wireless Headsets"
"AG22-0120","AG22-0120","AGENT","agent 500 Headset Top - PLX QD","0.00","40.60","58.00","","https://www.corpteluk.com/product/image/Medium/ag22-0120_0.jpeg","Corded Headsets"
"AG22-0121","AG22-0121","AGENT","agent 600 Headset Top - PLX QD","0.00","47.60","68.00","","https://www.corpteluk.com/product/image/Medium/ag22-0121_0.jpeg","Corded Headsets"
"AG22-0122","AG22-0122","AGENT","agent 700 Headset Top - PLX QD","25.00","50.40","72.00","","https://www.corpteluk.com/product/image/Medium/ag22-0122_0.jpeg","Corded Headsets"
"AG22-0123","AG22-0123","AGENT","agent 800 Headset Top - PLX QD","191.00","61.60","88.00","","https://www.corpteluk.com/product/image/Medium/ag22-0123_0.jpeg","Corded Headsets"
"AG22-0124","AG22-0124","AGENT","agent 500 Headset Top - PLX QD Low","0.00","52.31","52.31","","","Corded Headsets"
"AG22-0125","AG22-0125","AGENT","agent 700 Headset Top - PLX QD Low","1.00","66.75","66.75","","","Corded Headsets"
"AG22-0126","AG22-0126","AGENT","agent 401 Monaural Headset (PLX)","0.00","35.00","50.00","","","Corded Headsets"
"AG22-0127","AG22-0127","AGENT","agent 402 Binaural Headset (PLX)","1.00","39.20","56.00","","","Corded Headsets"
"AG22-0128","AG22-0128","AGENT","agent 600 Headset Top - PLX QD Low","0.00","44.04","62.91","","","Corded Headsets"
"AG22-0129","AG22-0129","AGENT","agent 800 Headset Top - PLX QD Low","0.00","57.65","82.36","","","Corded Headsets"
"AG22-0138","AG22-0138","AGENT","agent Headset Fabric Hard Case","10002.00","6.16","8.80","","","Corded Headsets"
"AG22-0140","AG22-0140","AGENT","agent Blu Bluetooth Headset","44.00","16.63","19.95","","https://www.corpteluk.com/product/image/large/ag22-0140_0.jpeg","Wireless Headsets"
"AG22-0142","AG22-0142","AGENT","agent Blu Bluetooth Headset inc TP","3.00","21.63","29.95","","","Wireless Headsets"
"AG22-0144","AG22-0144","AGENT","agent W800 Series Spare Headset V3.0","49.00","41.19","60.00","","https://www.corpteluk.com/product/image/large/ag22-0144_0.jpeg","Headset Spares"
"AG22-0146","AG22-0146","AGENT","agent W800 Spare Headband","1.00","11.20","14.00","","https://www.corpteluk.com/product/image/small/ag22-0146_0.jpeg","Headset Spares"
"AG22-0147","AG22-0147","AGENT","agent W800 Series Spare EURO PSU","8.00","9.95","9.95","","","Wireless Headsets"
"AG22-0148","AG22-0148","AGENT","agent W800 Series Spare UK PSU","66.00","10.40","13.00","","","Wireless Headsets"
"AG22-0153","AG22-0153","AGENT","agent W800 Series EHS 550","58.00","22.00","27.50","","","Wireless Headsets"
"AG22-0154","AG22-0154","AGENT","agent EHS 550 Adapter-Aastra A  A/D","0.00","26.00","32.50","","https://www.corpteluk.com/product/image/large/ag22-0154_0.jpeg","Headset Accessories"
"AG22-0155","AG22-0155","AGENT","agent EHS 550 Adapter-Alcatel  A/F/H/RS","0.00","26.00","32.50","","","Headset Accessories"
"AG22-0156","AG22-0156","AGENT","agent EHS 550 Adapter - Avaya 1600/9600","4.00","26.00","32.50","","https://www.corpteluk.com/product/image/large/ag22-0156_0.jpeg","Headset Accessories"
